model,bucket,n,accuracy,mean_confidence,gap_conf_minus_acc
qwen,"[0.0,0.2)",32,0.6563,0.0000,-0.6563
qwen,"[0.8,1.0]",8,1.0000,0.9563,-0.0437
smollm,"[0.6,0.8)",4,0.0000,0.7000,0.7000
smollm,"[0.8,1.0]",36,0.8333,0.9125,0.0792
granite,"[0.8,1.0]",34,0.6176,0.9074,0.2898
tinyllama,"[0.8,1.0]",19,0.3684,0.9000,0.5316

# Buckets with zero records omitted. Parsed responses only (granite n=34, tinyllama n=19).
# smollm [0.6,0.8): four hidden_state_uncertainty errors stated at confidence 0.7 with accuracy 0.00.
